	LCS03	LCS04	LCS07	LCS08	LCS09	LCS11	LCS12	LCS13
LCS03	0	8.59166458672751	7.26955520900571	4.79223717431562	8.92037980470566	5.27203436437188	7.20588377653235	6.36626623023491
LCS04	8.59166458672751	0	5.59694948268959	4.89178582737343	8.09870835010104	7.17474928239974	5.43839198853135	5.73617298024538
LCS07	7.26955520900571	5.59694948268959	0	5.18002516038998	7.86031801202952	5.94441382752258	4.19183700287496	3.20879055305579
LCS08	4.79223717431562	4.89178582737343	5.18002516038998	0	5.96465593316954	3.92587637842934	3.42342095770595	2.95917046628282
LCS09	8.92037980470566	8.09870835010104	7.86031801202952	5.96465593316954	0	6.36965890852213	7.09500508625979	7.31904058352785
LCS11	5.27203436437188	7.17474928239974	5.94441382752258	3.92587637842934	6.36965890852213	0	4.81260844607196	5.12382270880273
LCS12	7.20588377653235	5.43839198853135	4.19183700287496	3.42342095770595	7.09500508625979	4.81260844607196	0	2.56248977183267
LCS13	6.36626623023491	5.73617298024538	3.20879055305579	2.95917046628282	7.31904058352785	5.12382270880273	2.56248977183267	0
